Task,Representation,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,TF-IDF word n-grams (1-2),Logistic Regression,0.551,0.579,0.47,0.509,0.562,0.551,0.538
Discipline,TF-IDF word n-grams (1-3),Logistic Regression,0.551,0.578,0.469,0.507,0.562,0.551,0.538
Discipline,TF-IDF word unigrams,Logistic Regression,0.549,0.578,0.465,0.505,0.561,0.549,0.536
Discipline,TF-IDF character n-grams,Logistic Regression,0.539,0.561,0.465,0.501,0.547,0.539,0.529
Discipline,Word2Vec document embeddings,Logistic Regression,0.498,0.505,0.429,0.454,0.499,0.498,0.486
Field,TF-IDF word n-grams (1-2),Logistic Regression,0.51,0.501,0.51,0.501,0.503,0.51,0.502
Field,TF-IDF word n-grams (1-3),Logistic Regression,0.508,0.5,0.508,0.5,0.502,0.508,0.501
Field,TF-IDF word unigrams,Logistic Regression,0.507,0.499,0.507,0.498,0.501,0.507,0.499
Field,TF-IDF character n-grams,Logistic Regression,0.491,0.484,0.491,0.484,0.486,0.491,0.485
Field,Word2Vec document embeddings,Logistic Regression,0.444,0.438,0.443,0.438,0.44,0.444,0.439
